Sukunimi;Yhteensä
Mutikainen;579
Nissi;579
Tuomala;579
Väliaho;579
Leikas;578
Riihelä;578
Sundholm;578
Tilli;578
Tornberg;578
Nikulainen;577
Perttunen;577
Torkkeli;576
Paakki;575
Stenius;575
Törnqvist;575
Blomerus;574
Posio;574
Ståhlberg;574
Tapanainen;574
Kähärä;573
Malkki;573
Onnela;573
Tiusanen;573
Kontturi;572
Kronqvist;572
Lindh;572
Paalanen;572
Kerttula;571
Päkkilä;571
Keronen;570
Majava;570
Pirilä;570
Sund;570
Juusola;569
Latva;569
Akkanen;568
Hemmilä;568
Kokki;568
Ruottinen;568
Torikka;568
Honka;567
Huttu;567
Kukko;567
Simula;567
Heinilä;566
Kakkonen;566
Niininen;566
Tuunainen;566
Humalajoki;565
Hyyppä;565
Korpelainen;565
Takkunen;565
Haukka;564
Hyytinen;564
Kanto;564
Hännikäinen;563
Ilonen;563
Hentilä;562
Ilves;562
Mäntyniemi;561
Joronen;560
Palmroth;559
Stolt;559
Behm;558
Hentunen;557
Pudas;557
Ruoho;557
Sjöström;557
Tapola;557
Finne;556
Kanervo;556
Saarni;556
Vähäsöyrinki;556
Hiltula;555
Ilmonen;555
Khan;555
Rantonen;555
Winter;555
Roivas;554
Saksa;553
Tokola;553
Lavikainen;552
Mattinen;552
Mettälä;552
Rentola;552
Impola;551
Sipponen;551
Suoniemi;551
Lehtovaara;550
Ojaniemi;550
Sandvik;550
Kautonen;549
Sonninen;549
Grankulla;548
Lauri;548
Peltokorpi;548
Singh;548
Karppi;547
Innanen;545
Maaranen;545
Mourujärvi;545
Petäjä;545
Åström;545
Isoniemi;544
Kunttu;544
Leppämäki;544
Oittinen;544
Viitasaari;544
Husso;543
Kahila;543
Leiviskä;543
Murtomäki;543
Noponen;543
Puumala;543
Halmetoja;542
Pakanen;542
Hirsimäki;541
Kamula;540
Pahkala;540
Hellberg;539
Pirskanen;539
Rapo;539
Hanski;538
Isopahkala;538
Lonka;538
Rimpiläinen;538
Sorvali;538
Olsson;537
Paakkari;537
Paronen;537
Strandberg;537
Naskali;536
Sirkka;536
Tallgren;536
Ruponen;535
Häkkilä;534
Lehtiö;533
Romo;533
Heiska;532
Hekkala;532
Kareinen;532
Malkamäki;532
Mård;532
Piitulainen;532
Karhapää;531
Lehtilä;531
Ulmanen;531
Hautakangas;530
Huuhka;530
Jokiranta;530
Kaleva;530
Kylmänen;530
Ahtola;529
Liedes;529
Kaila;528
Sjögren;528
Sten;528
Palojärvi;527
Peiponen;527
Sintonen;527
Alenius;526
Tulonen;526
Heikkala;524
Mäkiranta;524
Törmälä;524
Alanne;523
