Etunimi;Lukumäärä
Ann-Kristin;258
Tekla;258
Thu;258
Ellie;257
Sirke;257
Gertrud;256
Hildegard;256
Ulrica;256
Eeva-Kaarina;254
Emmy;254
Karen;254
Nancy;254
Annakaisa;253
Liudmila;253
Amy;252
Katerina;252
Malena;252
Manta;252
Mina;252
Phuong;252
Eedla;251
Tinka;251
Antonina;249
Ingela;249
Noona;249
Desirée;248
Sally;248
Mimi;247
Solja;247
Nadezda;246
Minna-Maria;245
Omar;245
Aino-Maija;244
Iia;244
Viliina;244
Elsie;243
Bettiina;241
Gunborg;241
Reea;241
Annabel;240
Celine;240
Sirpa-Liisa;240
Alla;238
Pia-Maria;237
Rachel;237
Sannamari;237
Severiina;237
Göta;236
Ani;235
Emili;235
Adela;234
Annamaija;234
Ann-Louise;234
Cindy;234
Daniella;234
Mercedes;234
Piitu;234
Pirjetta;234
Serena;234
Yasmine;234
Bodil;233
Kristel;232
Thanh;232
Nicola;231
Sanna-Maija;231
Vienna;231
Margot;230
Venny;229
Helle;228
Mahamed;228
Valdine;228
Zainab;228
Anitra;227
Meri-Tuulia;227
Milma;227
Merja-Liisa;226
Bernice;225
Christin;225
Heidi-Maria;225
Riitta-Leena;225
Tindra;225
Marija;224
Adalia;221
Jasmi;221
Gunnevi;220
Thelma;220
Ulla-Riitta;220
Adolfiina;218
Lemmitty;218
Eleanora;217
Elissa;217
Juliette;217
Laimi;217
Oksana;216
Kaija-Liisa;215
Pilvikki;215
Tia-Maria;215
Amélie;214
Ann-Britt;214
Ella-Maria;214
Leia;214
Tarleena;213
Hjördis;212
Sina;212
Suvituuli;212
Juni;211
Kiara;211
Nellie;211
Nia;211
Tuisku;211
Desire;210
Kiti;210
Anne-Maija;209
Hellikki;209
Ruska;209
Tiitu;209
Carin;208
Ingalill;208
Lola;208
Saskia;208
Friida;207
Gudrun;206
Sallamari;206
Satu-Maarit;206
Cornelia;205
Seliina;205
Vilina;205
Vivan;205
Judit;204
Sanna-Leena;204
Milaja;203
Santra;202
Anni-Maria;201
Jekaterina;201
Rosalie;201
Tyyni;201
Yulia;201
Abigail;200
Katinka;200
Nicolina;200
Crista;199
Eelin;199
Leah;199
Minna-Mari;199
Sabine;198
Alena;197
Tanya;197
Annaleena;196
Leyla;196
Eija-Riitta;195
Etel;195
Hille;195
Linh;194
Ofelia;194
Saida;194
Sesilia;194
Elida;193
Fadumo;193
Nelma;193
Arina;192
Betty;192
Marjaleena;192
Ia;191
Iira;191
Rina;191
Celia;190
Hedda;190
Merike;190
Anne-Marja;189
Ida-Sofia;189
Maria-Liisa;189
Katherine;188
Matintytär;188
Eela;187
Eufemia;187
Iman;187
Taiga;186
Ulla-Britt;186
Adeline;185
Dana;185
Selene;185
Suvi-Päivikki;185
Miona;184
Abdirahman;183
Beda;183
Nur;183
Gerda;182
Janessa;182
Mohamud;182
Tatjaana;182
Cia;181
Isadora;181
Katri-Helena;181
Noelle;181
Noor;181
Fiina;180
Francesca;180
Lillian;180
Louisa;180
Safia;180
Sarlotta;180
Tania;180
Antintytär;179
Farah;179
Lyydi;179
Wenla;179
Niia;178
Samantha;178
Anastasiia;177
Onneli;177
Gurli;176
Kaisa-Leena;176
Menni;176
Amal;175
Jenita;175
Kaneli;175
Linne;175
Inga-Britt;174
Kastanja;174
Ljudmila;174
Miitta;174
Paju;173
Eimi;172
Jennica;172
Kata;172
Majlis;172
Anisa;171
Darja;171
Eeda;171
Pepita;171
Markit;170
Nilla;170
Tiina-Liisa;170
Ellida;169
Hannaleena;169
Luisa;169
Manuela;169
Ranja;169
Maari;168
Marilla;168
Minh;168
Paloma;168
Riitta-Maija;168
Sivi;168
Elif;167
Eliisabet;167
Mariette;167
Sara-Sofia;167
Celeste;166
Gloria;166
Lee;166
Nanni;166
Senna;166
Eevastiina;164
Marinka;164
Safira;164
Tyra;164
Veea;164
Aletta;163
Anceliga;163
Liubov;163
Milda;163
Nikita;163
Abdulkadir;162
Estrid;162
Henna-Maria;162
Khadija;162
Eea;161
Kaur;161
Lisette;161
Alida;160
Hilpi;160
Inez;160
Maria-Leena;160
Xenia;160
Lisen;159
Virginia;159
Alyssa;158
Helén;158
Hong;158
Mikontytär;158
Cesilia;157
Gisela;157
Ilana;157
Lulu;157
Mia-Maria;157
Märtha;157
Tarja-Leena;157
Cilla;156
Enne;156
Lynn;156
Miia-Maria;156
Anna-Elina;155
Anna-Stina;155
Britt-Mari;155
Dolores;155
Enja;155
Natalja;155
Pulmu;155
Raija-Leena;155
Tilma;155
Ihanelma;154
Irinja;154
Kaisa-Maria;154
Katrine;154
Mirette;154
Aino-Kaisa;153
Christiina;153
Evgenia;153
Ewa;153
Marielle;153
Milla-Maria;153
Pälvi;153
Rafaela;153
Yusuf;153
Laura-Maria;152
Antoinette;151
Dagny;151
Daisy;151
Mae;151
Moonika;151
Nadine;151
Sanna-Liisa;151
Zara;151
Adella;150
Danielle;150
Marikka;150
Merika;150
Salla-Maria;150
Elice;149
Iréne;149
Line;149
Mathilde;149
Oxana;149
Renja;149
Sahra;149
Suzanne;149
Alex;148
Janiina;148
Marttiina;148
Mianna;148
Ann-Maj;147
Emeliina;147
Sera;147
Tiia-Mari;147
Anna-Reetta;146
Arianna;146
Asma;146
Dora;146
Engla;146
Jannina;146
Jenni-Maria;146
Jennina;146
Aline;145
Linea;145
Lucy;145
Therése;145
Viona;145
Albertiina;144
Pirjo-Leena;144
Dorothea;143
Esme;143
Chloe;142
Inge;142
Ona;142
Peppina;142
Saara-Maria;142
Sarina;142
Tiina-Maija;142
Alvina;141
Florence;141
Hanne-Mari;141
Liisa-Maria;141
Paola;141
Rania;141
Annelie;140
Tuike;140
Vella;140
Violet;140
Anna-Kristiina;139
Irena;139
Leena-Kaisa;139
Nina-Maria;139
Tarja-Liisa;139
Isra;138
Lykke;138
Marjaliisa;138
Oosa;138
Osman;138
Vendela;138
Anna-Emilia;137
Dalia;137
Iida-Sofia;137
Juhantytär;137
Madelene;137
Marlena;137
Melek;137
Milea;137
Zoe;137
Alisia;136
Hafsa;136
Odette;136
Thao;136
Alessa;135
Eva-Liisa;135
Minessa;135
Nonna;135
Suometar;135
Beea;134
Elliina;134
Kate;134
Ulla-Maria;134
Violetta;134
Alinda;133
Aya;133
Claire;133
Kuura;133
Lianna;133
Nona;133
Carolin;132
Etta;132
Fransiina;132
Iuliia;132
Minella;132
Renata;132
Said;132
Sharon;132
Elinor;131
Timontytär;131
Annariina;130
Emiilia;130
Ha;130
Hilde;130
Marja-Sisko;130
Rhea;130
Vilda;130
Ainu;129
Dorrit;129
Emilja;129
Lana;129
Lumikukka;129
Mareena;129
Mari-Ann;129
Mari-Anna;129
Melody;129
Priscilla;129
Riikka-Liisa;129
Anna-Marja;128
Hilkka-Liisa;128
Leonie;128
Marjetta;128
Milli;128
Pirre;128
Sira;128
Sofiia;128
Suvi-Maria;128
Vanilla;128
Vilmiina;128
Aurinko;127
Eleni;127
Eloisa;127
Tiuku;127
Viviana;127
Kitty;126
Nanette;126
Satu-Maria;126
Sumaya;126
Flora;125
Lauha;125
Linda-Maria;125
Majvor;125
Ragni;125
Ea;124
Eeva-Marja;124
Fatma;124
Gun-Maj;124
Hani;124
Huong;124
Maarita;124
Maritza;124
Mirikli;124
Jean;123
Ludmila;123
Tiina-Maria;123
Vivianna;123
Vivien;123
Zeinab;123
Adanna;122
Charlott;122
Hildur;122
Inge-Maj;122
Jemiina;122
Marlen;122
Maud;122
Nitta;122
Savannah;122
Sirje;122
Ulla-Maj;122
Ann-Katrin;121
Ann-Lis;121
Eleanoora;121
Ritva-Leena;121
Agatha;120
Agda;120
Aimi;120
Annastina;120
Ayla;120
Daalia;120
Freija;120
Henna-Mari;120
Lova;120
Manda;120
Meh;120
Miida;120
Safa;120
Sonya;120
Tiina-Mari;120
Aria;119
Jacqueline;119
Lauren;119
Lioudmila;119
Monna;119
Nada;119
Sella;119
Valo;119
Alba;118
Anika;118
Greetta;118
Henrica;118
Kiana;118
Maijastiina;118
Manna;118
Ottiilia;118
Sinja;118
Valerie;118
Eerin;117
Emina;117
Enya;117
Nessa;117
Runa;117
Denice;116
Joan;116
Olena;116
Ringa;116
Seija-Liisa;116
Anna-Maaria;115
Anna-Stiina;115
Chiara;115
Dahlia;115
Emerentia;115
Matilde;115
Ros-Mari;115
Trang;115
Zaida;115
Deborah;114
Eliise;114
Ghita;114
Pirkitta;114
Stefanie;114
Tiana;114
Aleksia;113
Fredriikka;113
Janine;113
Jasmiini;113
Kaisa-Liisa;113
Mirelle;113
Rosina;113
Agata;112
Anna-Karin;112
Eda;112
Jetta;112
Merete;112
Rilla;112
Sallamaari;112
Yolanda;112
Aicha;111
Emine;111
Helin;111
Ilo;111
Lilianna;111
Nadejda;111
Angel;110
Halima;110
Medina;110
Merja-Riitta;110
Mikael;110
Nadezhda;110
Peggy;110
Savanna;110
Veela;110
Yrsa;110
Ariela;109
Eliza;109
Heikintytär;109
Marwa;109
Minda;109
Peppi-Lotta;109
Rauna;109
Akuliina;108
Casandra;108
Catrin;108
Katjaana;108
Lise;108
Nelle;108
Nhi;108
Tianna;108
Catrine;107
Dorotea;107
Edda;107
Huda;107
Marja-Helena;107
Riikka-Maria;107
Rosalina;107
Ruu;107
Sari-Anne;107
Selinda;107
Anja-Riitta;106
Beeda;106
Caterina;106
Elda;106
Marguerite;106
Marjanna;106
Maryan;106
Stefania;106
Ulla-Mari;106
Viktoriia;106
An;105
Aniita;105
Edna;105
Elliida;105
Esra;105
Fredriika;105
Gabrielle;105
Layla;105
Liida;105
Maura;105
Mirja-Leena;105
Opri;105
Sylva;105
Tähti;105
Yasemin;105
Anneka;104
Anne-Riitta;104
Emma-Sofia;104
Hennariikka;104
Henniina;104
Le;104
Ljubov;104
Mary-Ann;104
Meja;104
Mitra;104
Rinna;104
Verona;104
Anni-Sofia;103
Donna;103
Hasan;103
Jeannette;103
Serafiia;103
Albertina;102
Anna-Katariina;102
Anya;102
Elly;102
Evy;102
Heloisa;102
Leanna;102
Nanne;102
Natali;102
Soraya;102
Una;102
Vendla;102
Eufrosyne;101
Eugenia;101
Eveline;101
Hodan;101
Janetta;101
Liselott;101
Mariita;101
Meira;101
Noa;101
Tuuliina;101
Ayan;100
Ismail;100
Jamila;100
Jemima;100
Jill;100
Karoline;100
Rigmor;100
Varvara;100
Angelique;99
Ann-Charlott;99
Kathleen;99
Keiju;99
Maj-Gret;99
Myrsky;99
Nemi;99
Tita;99
Tuyet;99
Vanilja;99
Venni;99
Vivi-Ann;99
Corinne;98
Henny;98
Tuula-Maija;98
Urpu;98
Amalie;97
Annmari;97
Aylin;97
Eija-Leena;97
Frances;97
Hamdi;97
Hanna-Riitta;97
Hilve;97
Jamina;97
Sara-Maria;97
Tatja;97
Tutta;97
